SUA_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
2010,914,111,0,1032,1024,244,15,27,1311,232,65,297,1607,186,6,1799,33021,4611,542,599,38773,1086,244,1328,40103,2592,57,42750,7389,1451,148,228,9220,334,131,464,9684,3146,30,12863,47,13,0,52,106,0,0,0,108,11,99,220,40459,6074,691,878,48102,1423,377,1800,49901,5745,189,55837,7728,977,85,72,8862,224,49,269,9132,760,12,9902,7576,1443,113,60,9200,198,55,255,9454,731,15,10201,214,46,95,0,362,7,3,10,366,53,0,415,120,19,3,135,278,9,5,17,294,39,6,333,15642,2485,305,269,18703,439,108,546,19251,1576,28,20854,175,44,3,9,232,79,6,86,325,46,0,371,238,63,0,3,306,35,34,68,370,43,0,416,413,111,3,12,541,115,41,151,694,90,3,786,16051,2601,312,281,19246,552,154,698,19943,1666,31,21639,3743,772,99,125,4740,174,61,238,4977,2253,17,7248,17,9,0,16,45,0,0,3,49,5,51,107,19815,3378,408,429
2011,11,0,0,11,7,0,0,4,13,4,0,4,18,0,0,21,263,21,4,12,305,16,3,17,319,17,0,338,61,12,3,8,79,4,4,7,86,44,0,127,0,0,0,0,0,0,0,0,0,0,4,3,321,31,5,15,376,24,9,28,403,67,3,474,53,4,3,0,60,3,0,3,63,3,0,69,38,10,0,0,52,3,0,3,51,9,0,60,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,3,0,4,97,15,3,0,117,8,0,8,127,13,0,138,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3,3,5,0,0,5,4,0,0,0,8,0,3,3,9,0,0,9,101,15,3,4,122,8,3,9,131,13,0,143,17,4,3,0,27,3,3,5,29,8,0,37,0,0,0,0,0,0,0,0,0,0,0,0,120,18,5,4
2012,3,0,0,3,3,0,0,0,3,0,0,0,6,0,0,6,166,21,3,0,188,3,0,7,195,17,0,210,17,9,0,0,22,0,0,3,27,22,0,45,0,0,0,0,3,0,0,0,3,0,0,3,182,32,6,3,213,3,3,4,222,39,0,255,20,0,0,0,21,0,0,0,21,0,0,17,23,3,0,0,31,0,0,0,30,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,47,7,0,0,49,0,0,0,53,3,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0,0,49,0,0,0,52,3,0,57,0,0,0,0,3,0,0,0,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,49,6,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,0,0,58,8,0,7,65,7,0,72,16,3,0,0,12,3,0,3,21,7,0,21,0,0,0,0,0,0,0,0,0,0,4,4,63,8,0,0,77,5,0,6,82,7,4,98,12,0,0,0,9,0,0,0,9,4,0,9,11,7,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,26,0,0,0,28,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,31,0,0,0,31,3,0,32,0,0,0,0,0,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,29,0,0,0,29,3,0,35,6,0,0,0,6,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,31,0,0,0,31,3,0,42,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2015,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,40,3,0,0,45,0,0,0,45,5,0,46,9,0,0,0,12,0,0,0,17,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,49,3,3,0,52,0,0,0,57,8,0,67,9,0,0,0,9,0,0,0,9,0,0,9,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
2016,3,0,0,3,3,3,0,0,3,0,0,3,7,0,0,10,177,29,10,0,221,3,3,9,228,10,0,243,30,9,0,0,41,0,3,4,40,52,0,94,0,0,0,0,0,0,0,0,0,0,0,0,208,43,10,3,260,5,6,14,271,58,0,337,20,4,0,0,22,0,3,4,23,3,0,25,18,0,0,0,18,0,0,0,18,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,3,0,47,0,3,4,44,3,0,49,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,37,5,4,0,46,4,3,4,53,4,0,58,4,5,0,0,11,0,0,0,9,11,0,22,0,0,0,0,0,0,0,0,0,0,0,0,39,10,4,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,36,4,0,4,35,0,0,39,3,0,0,0,5,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,38,4,0,4,43,3,0,42,4,0,0,0,3,0,0,0,5,0,0,5,4,3,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,10,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,10,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0
2018,7,0,0,7,8,0,0,0,10,0,0,0,10,0,0,10,134,21,3,0,162,3,0,8,163,7,0,173,29,4,0,0,38,0,0,0,38,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,168,28,0,0,195,3,0,8,200,19,0,221,16,3,0,0,20,0,0,0,20,0,0,20,23,0,0,0,23,0,0,0,25,6,0,26,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,41,0,0,0,44,7,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,44,0,0,0,45,0,0,0,43,7,0,54,10,0,0,0,11,0,0,0,11,7,3,17,0,0,0,0,0,0,0,0,0,0,0,0,51,0,3,0
2019,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,65,9,0,4,79,0,0,0,82,4,0,79,11,3,0,0,15,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,79,7,0,7,91,0,0,0,95,3,0,95,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,0,0,0,13,0,0,12,4,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
2020,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,191,24,8,4,218,0,0,0,221,13,0,232,36,6,0,0,48,0,0,0,49,12,0,59,0,0,0,0,0,0,0,0,0,0,0,0,224,31,7,4,264,0,0,4,272,21,0,288,19,4,0,0,25,0,0,0,25,3,0,29,30,6,0,0,36,0,0,0,36,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,10,0,0,60,0,0,0,60,6,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,52,7,0,0,65,0,0,0,65,6,0,73,5,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,59,11,0,0
2021,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,120,14,3,0,133,3,0,3,135,6,0,146,18,7,0,0,25,0,0,0,25,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,139,23,3,0,162,3,0,3,165,12,0,178,13,3,0,0,17,0,0,0,17,3,0,20,21,4,0,0,23,0,0,0,23,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,38,6,0,3,46,0,0,0,46,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,11,0,3,45,0,0,0,45,4,0,50,6,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,41,12,0,3
